Row Labels,Socializing Relaxing and Leisure
15,318.4772947
16,315.6395589
17,303.967903
18,324.3862144
19,322.2936288
20,329.0313901
21,322.9669421
22,303.9271624
23,284.5961003
24,294.299169
25,279.0938673
26,277.1557847
27,266.8094241
28,266.3539171
29,262.7707787
30,248.7615385
31,261.428789
32,257.4474273
33,253.5720399
34,254.5316973
35,249.0986301
36,241.638369
37,249.3341886
38,244.4320104
39,246.785239
40,247.9030704
41,244.0137642
42,252.4010791
43,259.5079646
44,258.8311608
45,260.2886924
46,278.3415119
47,269.006402
48,265.3585987
49,266.3484848
50,283.0407056
51,298.9010695
52,305.9294369
53,284.0309735
54,311.8369647
55,300.7283282
56,321.3980061
57,324.5364501
58,325.9784946
59,345.0348129
60,329.6483813
61,359.9182222
62,364.4757185
63,379.2881874
64,387.4322305
65,420.5045501
66,415.5918803
67,408.7329341
68,423.6902887
69,431.2074967
70,436.9115942
71,430.2311475
72,437.4010508
73,436.9623932
74,449.4235727
75,455.3540856
76,465.1848049
77,471.8022599
78,479.3355705
79,466.3739837
80,479.9760411
85,497.9532828
