Row Labels,Sleep,Household Activites,Work and Work Related,Eating and Drinking,Socializing Relaxing and Leisure,Telephone Calls, Travelling,Education,Other
15,586.0238095,48.24801587,17.79365079,53.25694444,279.7767857,24.79861111,69.22123016,185.1527778,175.7281746
16,583.936357,47.31236284,41.87637162,54.54059985,271.3825896,17.59180688,73.02633504,170.7037308,179.6298464
17,577.5234742,48.1400626,66.7543036,54.90766823,259.7386541,14.97026604,78.42253521,168.4593114,171.0837246
18,584.4607219,57.59023355,89.74416136,54.07112527,284.2961783,15.12208068,81.17622081,107.5477707,165.9915074
19,583.3880171,64.10413695,129.4365193,56.7146933,271.5563481,11.32239658,77.95720399,71.44793153,174.0727532
20,567.3121469,74.36158192,132.8813559,56.88983051,275.3559322,8.860169492,77.84180791,60.19491525,186.3022599
21,570.9460916,83.12398922,146.9150943,58.07816712,262.0795148,7.788409704,74.2574124,56.28436658,180.5269542
22,568.1395076,88.71981243,159.8065651,55.9144197,254.2332943,7.096131301,71.67174678,43.06916764,191.3493552
23,553.6352016,94.00688299,175.9842675,58.75811209,238.7256637,6.563421829,79.94100295,34.06588004,198.3195674
24,550.9679421,99.56256463,166.4829369,63.05687694,244.3019648,7.327817994,75.78490176,31.90486039,200.6101344
25,550.7938487,108.2718204,158.8545303,58.7996675,245.0931006,8.315876974,73.10141313,21.42144638,215.3482959
26,545.5165165,108.8896396,178.6786787,61.7042042,231.7162162,6.22972973,77.92192192,23.53378378,205.8093093
27,538.8344924,118.9471488,166.7788595,60.84840056,232.0528512,6.830319889,75.47705146,16.79972184,223.4311544
28,541.9317739,124.02859,165.5633528,62.02534113,229.0500325,5.552306693,74.33853151,20.40675763,217.1033138
29,540.0057143,122.4126984,164.5574603,64.9447619,223.2393651,6.003809524,73.4431746,16.25015873,229.1428571
30,536.8152681,128.1293706,166.7301865,63.86946387,217.9428904,5.505827506,74.02272727,13.06701632,233.9172494
31,530.3990281,136.2985961,159.5188985,62.95032397,215.0680346,6.1825054,73.7575594,13.52591793,242.2991361
32,526.4139037,132.5818182,163.3165775,63.17593583,222.1470588,6.484491979,75.75882353,13.47540107,236.6459893
33,526.061117,139.8524763,159.6401475,66.54583772,212.2639621,5.852476291,75.55532139,10.49894626,243.7297155
34,528.2564901,146.8634476,156.5815161,65.15576324,209.7803738,5.563343718,76.07892004,9.725856698,241.9942887
35,525.0078947,147.3863158,164.1021053,64.26894737,209.0473684,5.870526316,76.25789474,10.51894737,237.54
36,518.4173147,152.0927942,160.9844479,65.52669777,208.8413686,6.416277864,76.22032141,9.392431312,242.1083463
37,521.7205737,147.6810089,156.9362018,65.8644906,215.2403561,5.504945598,78.31256182,8.920870425,239.8189911
