Row Labels,Sleep,Household Activities,Work and Work Related,Eating and Drinking,Socializing Relaxing and Leisure,Telephone Calls, Travelling,Education,Exercise Sports and Recreation,Other
15,599.23,32.03,16.94,54.85,318.48,8.98,61.24,176.57,80,91.68
16,583.09,36.38,40.99,54.93,315.64,11.67,68.89,161.76,71.26,95.39
17,582.27,35.48,65.36,53,303.97,11.49,76.12,148.62,61.09,102.6
18,587.22,44.58,90.11,50.76,324.39,9.26,78.74,98.77,54.74,101.43
19,572.04,50.3,156.82,53.4,322.29,9.42,76.67,56.58,40.11,102.37
20,554.03,40.71,177.34,54.15,329.03,7.39,84.35,51.77,39.12,102.11
21,554.53,51.06,182.68,55.43,322.97,4.48,84.25,49.61,36.81,98.18
22,546.18,50.38,213.31,60.02,303.93,4.3,82.8,44.8,30.67,103.61
23,542.85,54.71,231.57,64.03,284.6,5,78.56,39.54,33.76,105.38
24,532.8,61.59,238.14,62.74,294.3,4.42,78.1,30.24,28.42,109.25
25,535.03,61.64,245.11,64.83,279.09,3.51,84.42,27.31,29.42,109.64
26,535.31,69.89,241.02,65.43,277.16,3.27,79.5,18.03,30.21,120.18
27,526.97,68.26,261.21,66.63,266.81,4.87,82.61,17.96,25.27,119.41
28,517.98,66.79,274.93,64.7,266.35,4.61,80.43,11.8,27.03,125.38
29,515.79,72.53,262.8,71.18,262.77,3.91,82.96,14.82,23.38,129.86
30,517.96,77.21,265.09,70.65,248.76,2.36,84.28,13.55,22.66,137.48
31,517.26,81.27,251.03,67.32,261.43,4.14,79.99,8.47,26.82,142.27
32,517.11,79.78,263.68,68.99,257.45,3.28,76.94,9.04,24.03,139.7
33,507.48,80.28,263.06,69.33,253.57,3.25,80.96,8.52,26.84,146.71
34,507.96,84.3,264.41,68.07,254.53,2.81,79.27,7.89,27.74,143.02
35,509.1,90.7,261.15,69.4,249.1,3.14,83.72,3.55,24.69,145.45
36,505.76,86.27,262.7,69.87,241.64,2.7,81.55,5.05,25.42,159.04
37,504.92,87.8,274.29,67.91,249.33,2.95,79.72,3.88,26.17,143.03
38,506.55,91.97,259.42,71.88,244.43,2.76,81.88,5.82,27.17,148.12
39,506.06,88.82,267.85,69.23,246.79,2.35,80.87,5.15,23.62,149.26
40,505.11,93.38,259.66,69.43,247.9,3.25,81.76,6.35,24.37,148.79
41,510.16,95.7,263.96,69.54,244.01,2.99,82,3.27,26.33,142.04
42,510.74,101.05,251.66,69.22,252.4,3.41,84.42,3.59,24,139.51
43,502.88,92.49,269.27,67.29,259.51,2.75,79.92,5.19,23.43,137.27
44,503.18,99,253.16,69.26,258.83,2.97,84.57,5.39,24.43,139.21
45,502.53,102.94,262.16,68.06,260.29,2.99,82.5,4.05,21.25,133.23
46,502.12,103.1,248.13,69.14,278.34,3.4,79.66,2.86,25.59,127.66
47,508.29,101.31,247.09,68.95,269.01,2.97,81.87,3.37,26.2,130.94
48,502.05,104.12,265,68.58,265.36,3.24,79.78,3.54,25.22,123.11
49,499.15,102.54,263.84,71.41,266.35,3.35,81.6,3.7,26.88,121.18
50,502.78,101.92,259.92,68.78,283.04,3.35,78.82,3.47,22.69,115.23
51,503.53,101.17,234.24,69.81,298.9,3.56,77.04,2.19,20.45,129.11
52,496.98,105.29,239.11,67.26,305.93,3.85,77.14,2.96,19.81,121.67
53,500.95,104.96,251.73,70.21,284.03,3.4,81.34,2.55,18.97,121.86
54,502.26,103.77,227.92,69.93,311.84,3.76,79.05,3.05,20.66,117.76
55,505.54,110.57,232.1,71.98,300.73,3.44,77.79,0.95,20.88,116.02
56,511.23,107.92,218.09,68.53,321.4,3.11,75.56,2.65,21.06,110.45
57,507.05,103.4,217.17,69.87,324.54,3.73,71.88,1.44,21.45,119.47
58,504.95,103.78,217.48,68.57,325.98,3.28,73.15,2.49,23.43,116.89
59,504.51,112.71,193.71,72.12,345.03,3.16,70.81,1.92,21.22,114.81
60,504.28,109.27,199.87,74.18,329.65,5.23,74.94,1.7,25.67,115.21
61,517.89,104.06,172.16,70.52,359.92,4.17,69.72,1.77,19.88,119.91
62,509.24,112.03,161.27,77.01,364.48,3.99,71.3,2.25,22.02,116.41
63,513.12,120.5,124.61,77.02,379.29,4.51,71.97,1.04,21.45,126.49
64,518.15,115.04,124.05,80.96,387.43,2.93,68.35,1.69,22.28,119.12
65,512.64,118.58,92.1,75.59,420.5,3.38,64.99,1.02,26.4,124.8
66,521.67,124.06,81.49,77.42,415.59,3.82,62.82,0.68,23.91,128.54
67,529.97,115.94,85.83,80.42,408.73,4.81,68.14,1.54,25.92,118.7
68,518.12,129.39,71.97,81.03,423.69,3.26,65.25,0.89,29.68,116.72
69,526.37,111.84,67.9,82.61,431.21,5.23,60.5,1.15,24.04,129.15
70,527.02,112.3,57.93,80.69,436.91,4.13,62.21,1.69,24.31,132.81
71,532.14,124.25,55.71,82.2,430.23,3.6,63.26,0.42,24.11,124.08
72,521.97,120.05,61.44,83.49,437.4,3.93,61.89,0.37,19.58,129.88
73,538.7,114.42,50.9,80.02,436.96,3.43,54.55,0.6,19.76,140.66
74,537.51,115.87,39.9,84.1,449.42,4.25,60.2,0.42,21.23,127.1
