Row Labels,Exercise Sports and Recreation
15,80
16,71.26
17,61.09
18,54.74
19,40.11
20,39.12
21,36.81
22,30.67
23,33.76
24,28.42
25,29.42
26,30.21
27,25.27
28,27.03
29,23.38
30,22.66
31,26.82
32,24.03
33,26.84
34,27.74
35,24.69
36,25.42
37,26.17
38,27.17
39,23.62
40,24.37
41,26.33
42,24
43,23.43
44,24.43
45,21.25
46,25.59
47,26.2
48,25.22
49,26.88
50,22.69
51,20.45
52,19.81
53,18.97
54,20.66
55,20.88
56,21.06
57,21.45
58,23.43
59,21.22
60,25.67
61,19.88
62,22.02
63,21.45
64,22.28
65,26.4
66,23.91
67,25.92
68,29.68
69,24.04
70,24.31
71,24.11
72,19.58
73,19.76
74,21.23
75,21.66
76,22.1
77,19.88
78,18.87
79,18.23
80,16.88
85,11.44
