Row Labels,Sleep,Household Activites,Work and Work Related,Eating and Drinking,Socializing Relaxing and Leisure,Telephone Calls, Travelling,Education,Exercise Sports and Recreation,Other
15,586.0238095,48.24801587,17.79365079,53.25694444,279.7767857,24.79861111,69.22123016,185.1527778,37.88492063,137.843254
16,583.936357,47.31236284,41.87637162,54.54059985,271.3825896,17.59180688,73.02633504,170.7037308,35.78858815,143.8412582
17,577.5234742,48.1400626,66.7543036,54.90766823,259.7386541,14.97026604,78.42253521,168.4593114,32.55946792,138.5242567
18,584.4607219,57.59023355,89.74416136,54.07112527,284.2961783,15.12208068,81.17622081,107.5477707,19.48195329,146.5095541
19,583.3880171,64.10413695,129.4365193,56.7146933,271.5563481,11.32239658,77.95720399,71.44793153,16.82453638,157.2482168
20,567.3121469,74.36158192,132.8813559,56.88983051,275.3559322,8.860169492,77.84180791,60.19491525,15.96751412,170.3347458
21,570.9460916,83.12398922,146.9150943,58.07816712,262.0795148,7.788409704,74.2574124,56.28436658,17.26415094,163.2628033
22,568.1395076,88.71981243,159.8065651,55.9144197,254.2332943,7.096131301,71.67174678,43.06916764,14.87338804,176.4759671
23,553.6352016,94.00688299,175.9842675,58.75811209,238.7256637,6.563421829,79.94100295,34.06588004,15.60766962,182.7118977
24,550.9679421,99.56256463,166.4829369,63.05687694,244.3019648,7.327817994,75.78490176,31.90486039,14.0672182,186.5429163
25,550.7938487,108.2718204,158.8545303,58.7996675,245.0931006,8.315876974,73.10141313,21.42144638,15.27680798,200.071488
26,545.5165165,108.8896396,178.6786787,61.7042042,231.7162162,6.22972973,77.92192192,23.53378378,12.53228228,193.2770271
27,538.8344924,118.9471488,166.7788595,60.84840056,232.0528512,6.830319889,75.47705146,16.79972184,16.71905424,206.7121001
28,541.9317739,124.02859,165.5633528,62.02534113,229.0500325,5.552306693,74.33853151,20.40675763,13.18973359,203.9135802
29,540.0057143,122.4126984,164.5574603,64.9447619,223.2393651,6.003809524,73.4431746,16.25015873,13.63428571,215.5085714
30,536.8152681,128.1293706,166.7301865,63.86946387,217.9428904,5.505827506,74.02272727,13.06701632,13.14277389,220.7744755
31,530.3990281,136.2985961,159.5188985,62.95032397,215.0680346,6.1825054,73.7575594,13.52591793,13.13228942,229.1668466
32,526.4139037,132.5818182,163.3165775,63.17593583,222.1470588,6.484491979,75.75882353,13.47540107,13.55240642,223.093583
33,526.061117,139.8524763,159.6401475,66.54583772,212.2639621,5.852476291,75.55532139,10.49894626,15.76290832,227.9668071
34,528.2564901,146.8634476,156.5815161,65.15576324,209.7803738,5.563343718,76.07892004,9.725856698,13.67082035,228.3234684
35,525.0078947,147.3863158,164.1021053,64.26894737,209.0473684,5.870526316,76.25789474,10.51894737,14.89105263,222.6489474
36,518.4173147,152.0927942,160.9844479,65.52669777,208.8413686,6.416277864,76.22032141,9.392431312,16.73665111,225.3716951
37,521.7205737,147.6810089,156.9362018,65.8644906,215.2403561,5.504945598,78.31256182,8.920870425,15.08753709,224.731454
38,515.0884817,150.5371728,174.8293194,63.02827225,214.734555,6.097905759,78.5434555,6.590575916,15.71361257,214.8366491
39,515.0040568,151.3336714,174.9041582,65.15060852,216.6643002,6.081643002,78.42444219,7.623225152,16.32555781,208.4883367
40,517.9137931,155.6739812,169.5350052,64.73876698,216.4545455,6.243991641,79.52821317,6.724137931,15.58829676,207.5992685
41,516.9189189,156.8505864,168.400306,65.78837328,216.0397756,6.132585416,80.3554309,8.768995411,16.58082611,204.164202
42,518.6885504,160.0793067,167.2363445,63.90966387,218.5367647,6.047794118,79.72216387,6.375,15.2289916,204.1754202
43,518.4404576,147.8330733,181.0379615,62.88039522,232.8013521,6.110764431,79.75923037,8.244929797,15.36089444,187.5309412
44,514.2031975,158.9762764,176.4455905,62.52759154,226.6075297,7.821041774,78.56884992,9.283135637,15.22073234,190.3460547
45,515.7361894,158.3641488,171.1533258,65.97970688,231.3765502,8.008455468,76.95208568,8.065952649,15.00281849,189.3607666
