Row Labels,Education
15,185.15
16,170.7
17,168.46
18,107.55
19,71.45
20,60.19
21,56.28
22,43.07
23,34.07
24,31.9
25,21.42
26,23.53
27,16.8
28,20.41
29,16.25
30,13.07
31,13.53
32,13.48
33,10.5
34,9.73
35,10.52
36,9.39
37,8.92
38,6.59
39,7.62
40,6.72
41,8.77
42,6.38
43,8.24
44,9.28
45,8.07
46,6.1
47,8.82
48,5.46
49,5.5
50,5
51,4.36
52,4.78
53,6.37
54,3.49
55,4.07
56,4.06
57,3.11
58,3.3
59,3.4
60,2.12
61,2.75
62,0.94
63,1.59
64,1.65
65,2.44
66,2.14
67,1.1
68,2.3
69,1.5
70,1.6
71,0.76
72,0.63
73,1.61
74,1.12
75,1.14
76,0.5
77,1.56
78,1.5
79,0.75
80,0.94
85,1.11
